id,year,type,question
1,2015,MCQs,The control structure use do-while loop is: $ Sequence $ Selection $ Iteration $ Random
2,2015,MCQs,This symbol in a flow chart represents a process: $ Rectangle $ Circle $ Oval $ Diamond
3,2015,MCQs,The comment begins with the characters set of: $ */ $ /* $ \* $ *\
4,2015,MCQs,"The statements within any C function must be enclosed within a pair of: $ () $ [] $ {} $ "" """
5,2015,MCQs,The collection of related fields is called a: $ Record $ Field $ Database $ Attribute
6,2015,MCQs,The default case in the switch statement is: $ Occasional $ Relational $ Optional $ Compulsory
7,2015,MCQs,The for loop counter variables should be of this type: $ Float $ int $ Char $ Double
8,2015,MCQs,A field is sometimes called an/a: $ File $ Attribute $ Record $ Database
9,2015,MCQs,An object whose value can be changed during program execution is called: $ Symbol $ Variable $ Constant $ Operator
10,2015,MCQs,To control the spacing and number of characters displayed by: $ Precision specifier $ Field-width specifier $ Format specifier $ Escape sequence
11,2015,MCQs,This database object is used to present data in a printed format: $ Table $ Query $ Form $ Report
12,2015,MCQs,The memory space required for a float is: $ 2 bytes $ 8 bytes $ 1 byte $ 4 bytes
13,2015,MCQs,A function which invokes itself is called: $ Recursive function $ System function $ Library function $ Iterative function
14,2015,MCQs,"In database, records are also called: $ Attributes $ Entities $ Tuples $ Relations"
15,2015,MCQs,This is the symbol of AND operator: $ OR $ && $ & $ !
76,2015,Short,i) What is the purpose of the statement #include<stdio.h> in a C program? What is statement terminator?
77,2015,Short,ii) Define logical operators in C language.
78,2015,Short,iii) Differentiate between while loop and the do-while loop.
79,2015,Short,iv) What are escape sequences? Give an example.
80,2015,Short,v) List some of the advantages of database management system.
81,2015,Short,vi) Write the full form of the following acronyms: $ DML $ DDL $ SQL $ IDE $ RDBMS $ DBA
82,2015,Short,vii) What is a key field? Why is it important in DBMS?
83,2015,Short,viii) Write a program that reads radius of a circle and displays the circle's area. Use this formula Area = PI x radius x radius where PI is the constant whose value is 3.14159.
84,2015,Short,ix) Rewrite following mathematical expressions using C function: $  root(x+y) *z^(3) $ root((a-b))^(3) $ ab-U/V
88,2015,Long,3.a) Explain the use of nesced if-else statement. $ b) Write a program that reads three numbers and prints the largest.
90,2015,Long,4.a) Explain the data types used in MS-Access. $ b) Write a program in C to call a function which returns the cube of a given number.
92,2015,Long,5.a) Explain various types of Database model. $ b) What are the commonly used input/output functions in C? How are they accessed.
94,2016,MCQs,"Names given to variable, constants and functions are called: $ indentifiers $ header files $ loops $ structures"
99,2016,MCQs,For loop is used when we need to perform: $ Sequential logic $ Iteration logic $ Selection logic $ Parallel logic
104,2016,MCQs,"This is a statement terminator in C.: $  { $ ; $ "" $ }"
