timestamp,station_id,location_type,vehicle_id,vehicle_type,arrival_time,charging_start_time,charging_end_time,waiting_time,battery_capacity_kWh,initial_soc,final_soc,energy_consumed_kWh,charging_power_kW,charging_duration,queue_length,station_load,electricity_price,renewable_energy_ratio,traffic_density,weather_condition,day_of_week,time_slot,charging_demand,assigned_charger_id,charging_priority,optimization_reward
1/1/2025 0:00,ST004,Urban,EV10000,Two-Wheeler,1/1/2025 0:00,1/1/2025 0:12,1/1/2025 4:33,12,60,48.98455001,99.86557637,30.52861582,7,261.6738499,4,15.16167224,13.66,0.280334504,Low,Cloudy,Wednesday,Off-Peak,17.24239802,CH4,Low,-8.622299343
1/1/2025 0:15,ST005,Urban,EV10001,Two-Wheeler,1/1/2025 0:15,1/1/2025 0:23,1/1/2025 1:12,8,100,58.49549261,100,41.50450739,50,49.916518,3,20.99721943,5.47,0.392126656,Low,Rainy,Wednesday,Off-Peak,18.32493284,CH9,Low,-1.935644217
1/1/2025 0:30,ST019,Highway,EV10002,Car,1/1/2025 0:30,1/1/2025 0:41,1/1/2025 1:35,11,75,35.71172192,95.73346388,45.01630647,50,54.01956776,8,31.60615077,9.5,0.103979488,Low,Clear,Wednesday,Off-Peak,36.02816833,CH2,Low,-18.2018455
1/1/2025 0:45,ST008,Urban,EV10003,Two-Wheeler,1/1/2025 0:45,1/1/2025 0:54,1/1/2025 3:29,9,40,29.27082513,100,28.29166995,11,155.7733697,3,21.80304987,6.22,0.248553073,Low,Clear,Wednesday,Off-Peak,17.14693509,CH9,Medium,-7.404017784
1/1/2025 1:00,ST008,Highway,EV10004,Two-Wheeler,1/1/2025 1:00,1/1/2025 1:08,1/1/2025 6:14,8,75,25.5855538,100,55.81083465,11,306.369479,5,15.62626585,13.42,0.23492624,Low,Cloudy,Wednesday,Off-Peak,14.57776821,CH1,Low,-6.577465969
1/1/2025 1:15,ST014,Highway,EV10005,Bus,1/1/2025 1:15,1/1/2025 1:18,1/1/2025 2:15,3,75,39.89499894,100,45.07875079,50,57.82379866,0,20.4166852,14.61,0.353360155,Low,Clear,Wednesday,Off-Peak,22.8898863,CH4,Medium,3.517467598
1/1/2025 1:30,ST004,Urban,EV10006,Bus,1/1/2025 1:30,1/1/2025 1:51,1/1/2025 2:23,21,30,24.04672548,100,22.78598235,50,32.69810476,2,15.30533878,5.16,0.227020444,Low,Clear,Wednesday,Off-Peak,14.25415396,CH6,Medium,-18.25045443
1/1/2025 1:45,ST020,Highway,EV10007,Car,1/1/2025 1:45,1/1/2025 1:49,1/1/2025 2:51,4,60,19.9421202,100,48.03472788,50,62.1133351,7,18.48089303,8.58,0.134760718,Low,Rainy,Wednesday,Off-Peak,22.11192729,CH8,High,-7.153357071
1/1/2025 2:00,ST004,Highway,EV10008,Car,1/1/2025 2:00,1/1/2025 2:02,1/1/2025 3:11,2,100,46.48030892,100,53.51969108,50,69.72186418,6,23.6585375,14.72,0.354674147,Low,Rainy,Wednesday,Off-Peak,25.87583271,CH5,High,0.908516919
1/1/2025 2:15,ST020,Highway,EV10009,Two-Wheeler,1/1/2025 2:15,1/1/2025 2:16,1/1/2025 3:59,1,60,36.13664147,99.54003543,38.04203638,22,103.7510083,2,16.03438405,13.96,0.242611067,Low,Clear,Wednesday,Off-Peak,16.66713977,CH2,Low,2.071455199
1/1/2025 2:30,ST008,Highway,EV10010,Car,1/1/2025 2:30,1/1/2025 2:36,1/1/2025 11:38,6,100,36.99205457,100,63.00794543,7,542.1878191,2,30.59395305,13.08,0.290021127,Low,Clear,Wednesday,Off-Peak,34.30855895,CH2,Medium,-4.418156801
1/1/2025 2:45,ST009,Highway,EV10011,Two-Wheeler,1/1/2025 2:45,1/1/2025 2:52,1/1/2025 4:03,7,75,20.92202186,100,59.3084836,50,71.65556807,7,33.1488031,13.96,0.195401042,Low,Cloudy,Wednesday,Off-Peak,29.24932235,CH3,Medium,-11.26772935
1/1/2025 3:00,ST012,Urban,EV10012,Two-Wheeler,1/1/2025 3:00,1/1/2025 3:08,1/1/2025 5:28,8,75,27.62844282,96.42251902,51.59555715,22,140.7151559,5,23.34822006,7.22,0.13595961,Low,Cloudy,Wednesday,Off-Peak,21.72437178,CH2,High,-11.09085571
1/1/2025 3:15,ST006,Urban,EV10013,Car,1/1/2025 3:15,1/1/2025 3:23,1/1/2025 4:05,8,60,26.1601466,85.47500229,35.58891342,50,42.7066961,8,19.29784494,7.54,0.174062819,Low,Cloudy,Wednesday,Off-Peak,21.26088767,CH7,Medium,-10.63768442
1/1/2025 3:30,ST018,Urban,EV10014,Two-Wheeler,1/1/2025 3:30,1/1/2025 3:36,1/1/2025 5:43,6,30,23.33905071,100,22.99828479,11,127.732268,3,18.57292928,14.08,0.171868567,Low,Cloudy,Wednesday,Off-Peak,15.02187801,CH1,Low,-6.058528841
1/1/2025 3:45,ST002,Highway,EV10015,Bus,1/1/2025 3:45,1/1/2025 3:55,1/1/2025 8:35,10,75,32.38915823,100,50.70813133,11,280.4262914,1,26.23239231,7.38,0.318464905,Low,Cloudy,Wednesday,Off-Peak,24.91022363,CH2,Low,-6.192531324
1/1/2025 4:00,ST019,Highway,EV10016,Car,1/1/2025 4:00,1/1/2025 4:17,1/1/2025 4:59,17,60,50.82159366,100,29.5070438,50,42.37008133,3,16.73037021,5.41,0.277267883,Low,Rainy,Wednesday,Off-Peak,18.50601383,CH8,Medium,-13.52803755
1/1/2025 4:15,ST015,Urban,EV10017,Bus,1/1/2025 4:15,1/1/2025 4:29,1/1/2025 6:01,14,60,45.55747662,100,32.66551403,22,92.33319919,1,14.48732858,11.91,0.216020604,Low,Clear,Wednesday,Off-Peak,18.85462847,CH4,High,-10.9168476
1/1/2025 4:30,ST018,Highway,EV10018,Two-Wheeler,1/1/2025 4:30,1/1/2025 4:38,1/1/2025 5:38,8,30,20.45358104,94.58853549,22.24048634,22,60.65587183,3,26.19968092,13.17,0.266560243,Low,Rainy,Wednesday,Off-Peak,26.4961867,CH7,High,-6.74312888
1/1/2025 4:45,ST013,Highway,EV10019,Car,1/1/2025 4:45,1/1/2025 4:57,1/1/2025 6:17,12,40,59.81268499,96.69990502,14.75488801,11,80.48120733,8,24.98419149,12.26,0.369133078,Low,Clear,Wednesday,Off-Peak,28.85505573,CH9,Medium,-9.922845959
1/1/2025 5:00,ST003,Urban,EV10020,Car,1/1/2025 5:00,1/1/2025 5:13,1/1/2025 5:50,13,60,56.78174971,100,25.93095017,50,37.20249419,5,15.18394103,6.01,0.299050531,Low,Clear,Wednesday,Off-Peak,10.23455687,CH3,High,-9.565272284
1/1/2025 5:15,ST014,Urban,EV10021,Bus,1/1/2025 5:15,1/1/2025 5:29,1/1/2025 6:34,14,40,34.28068768,94.53985897,24.10366852,22,65.73727777,6,30.24358443,7.37,0.197619909,Low,Cloudy,Wednesday,Off-Peak,32.70849848,CH10,Medium,-17.1201196
1/1/2025 5:30,ST017,Highway,EV10022,Two-Wheeler,1/1/2025 5:30,1/1/2025 5:44,1/1/2025 6:12,14,30,25.40303959,100,22.37908812,50,28.91881038,4,19.30404735,7.44,0.391903166,Low,Clear,Wednesday,Off-Peak,18.2350246,CH2,High,-8.103714478
1/1/2025 5:45,ST018,Highway,EV10023,Two-Wheeler,1/1/2025 5:45,1/1/2025 5:51,1/1/2025 11:55,6,60,31.71971828,100,40.96816903,7,364.8278454,5,24.85035388,6.95,0.316735635,Low,Cloudy,Wednesday,Off-Peak,22.6580775,CH2,Medium,-3.968001738
1/1/2025 6:00,ST014,Urban,EV10024,Bus,1/1/2025 6:00,1/1/2025 6:10,1/1/2025 7:15,10,30,59.72752554,99.58055834,11.95590984,11,65.21405367,4,33.33309638,14.64,0.355902837,Low,Clear,Wednesday,Off-Peak,31.2775853,CH5,High,-7.989534177
1/1/2025 6:15,ST006,Urban,EV10025,Two-Wheeler,1/1/2025 6:15,1/1/2025 6:28,1/1/2025 17:52,13,100,19.54555156,99.45980614,79.91425458,7,684.979325,3,24.13602525,14.36,0.308808939,Low,Cloudy,Wednesday,Off-Peak,24.83663695,CH9,High,-10.06293688
1/1/2025 6:30,ST007,Urban,EV10026,Bus,1/1/2025 6:30,1/1/2025 6:41,1/1/2025 9:25,11,40,22.70818245,98.14618629,30.17520153,11,164.5920084,6,29.94031482,12.02,0.207847345,Low,Clear,Wednesday,Off-Peak,27.87623326,CH9,High,-13.7526426
1/1/2025 6:45,ST001,Highway,EV10027,Bus,1/1/2025 6:45,1/1/2025 6:57,1/1/2025 9:43,12,40,50.50566973,98.93111293,19.37017728,7,166.030091,5,15.10369726,11.28,0.158282186,Low,Clear,Wednesday,Off-Peak,10.81310643,CH2,Medium,-12.77227387
1/1/2025 7:00,ST010,Urban,EV10028,Car,1/1/2025 7:00,1/1/2025 7:07,1/1/2025 7:58,7,60,26.89975784,99.11295258,43.32791684,50,51.99350021,0,86.88104541,8.28,0.146512485,High,Clear,Wednesday,Peak,91.69945429,CH10,Low,-19.98083453
1/1/2025 7:15,ST003,Highway,EV10029,Car,1/1/2025 7:15,1/1/2025 7:35,1/1/2025 10:11,20,40,53.02023092,98.69753293,18.27092081,7,156.6078926,3,83.8897304,12.7,0.164746308,High,Rainy,Wednesday,Peak,85.11863516,CH3,Low,-33.33555683
1/1/2025 7:30,ST016,Urban,EV10030,Bus,1/1/2025 7:30,1/1/2025 7:51,1/1/2025 13:41,21,75,16.63727111,100,62.52204667,11,350.2464142,0,91.80744779,7.71,0.231691426,High,Rainy,Wednesday,Peak,87.5920116,CH10,Medium,-32.41074677
1/1/2025 7:45,ST007,Urban,EV10031,Two-Wheeler,1/1/2025 7:45,1/1/2025 7:55,1/1/2025 15:18,10,100,19.21668372,100,80.78331628,11,443.161207,7,83.35811778,6.73,0.146931113,High,Cloudy,Wednesday,Peak,80.86054676,CH7,High,-25.76369017
1/1/2025 8:00,ST012,Highway,EV10032,Two-Wheeler,1/1/2025 8:00,1/1/2025 8:18,1/1/2025 9:51,18,100,23.99669485,100,76.00330515,50,93.22887474,11,88.42691595,12.3,0.114314838,High,Cloudy,Wednesday,Peak,89.08728805,CH2,Low,-37.75593804
1/1/2025 8:15,ST008,Urban,EV10033,Bus,1/1/2025 8:15,1/1/2025 8:26,1/1/2025 12:50,11,60,47.89230552,99.33888468,30.86794749,7,264.5824071,4,67.76627953,8.11,0.393853159,High,Clear,Wednesday,Peak,64.51958223,CH10,High,-14.73766115
1/1/2025 8:30,ST008,Urban,EV10034,Car,1/1/2025 8:30,1/1/2025 8:37,1/1/2025 15:04,7,100,29.92523672,100,70.07476328,11,387.7099628,5,86.57509794,11.84,0.284755349,High,Clear,Wednesday,Peak,91.01401398,CH1,Low,-18.27235911
