Transaction_ID,Sale_Date,Shoe_Model,Colorway,Condition,Retail_Price_USD,Resale_Price_USD,Sales_Channel,Days_in_Inventory,Profit_Margin_USD
TRX-100001,2024-10-23,Air Jordan 11 Retro,Sail,Used,225,194.67,GOAT,13,-30.330000000000013
TRX-100002,2023-10-23,Air Jordan 1 High,Mocha,Deadstock (Brand New),185,230.46,StockX,10,45.46000000000001
TRX-100003,2023-11-13,Air Jordan 4 Retro,Concord,Deadstock (Brand New),212,270.37,kick hub 2026,33,58.370000000000005
TRX-100004,2024-02-01,Air Jordan 4 Retro,Mocha,Used,223,180.43,Stadium Goods,60,-42.56999999999999
TRX-100005,2023-05-29,Air Jordan 1 Low,Mocha,Used,137,117.43,kick hub 2026,30,-19.569999999999993
TRX-100006,2024-05-04,Air Jordan 1 Low,Concord,VNDS (Very Near Deadstock),131,141.32,kick hub 2026,34,10.319999999999993
TRX-100007,2025-07-21,Air Jordan 3 Retro,Sail,Used,204,138.28,Walk-in Retail,38,-65.72
TRX-100008,2023-05-13,Air Jordan 1 Low,Black Cat,Deadstock (Brand New),129,295.9,kick hub 2026,31,166.89999999999998
TRX-100009,2023-05-30,Air Jordan 3 Retro,Bred,VNDS (Very Near Deadstock),205,248.04,StockX,1,43.03999999999999
TRX-100010,2023-10-16,Air Jordan 4 Retro,Bred,Used,219,170.96,Walk-in Retail,44,-48.03999999999999
TRX-100011,2025-04-10,Air Jordan 1 Low,Chicago,VNDS (Very Near Deadstock),136,177.57,GOAT,5,41.56999999999999
TRX-100012,2024-01-06,Air Jordan 4 Retro,Mocha,Used,210,169.77,kick hub 2026,6,-40.22999999999999
TRX-100013,2023-06-24,Air Jordan 11 Retro,Black Cat,Used,225,199.1,Walk-in Retail,56,-25.900000000000006
TRX-100014,2023-04-01,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),188,200.98,kick hub 2026,57,12.97999999999999
TRX-100015,2024-07-09,Air Jordan 4 Retro,Sail,VNDS (Very Near Deadstock),219,306.35,Walk-in Retail,34,87.35000000000002
TRX-100016,2025-09-11,Air Jordan 3 Retro,Chicago,VNDS (Very Near Deadstock),202,221.73,GOAT,13,19.72999999999999
TRX-100017,2024-05-31,Air Jordan 1 High,Military Blue,Used,180,134.74,Stadium Goods,54,-45.25999999999999
TRX-100018,2023-12-06,Air Jordan 4 Retro,Bred,Used,213,162.53,GOAT,9,-50.47
TRX-100019,2025-01-14,Air Jordan 4 Retro,Black Cat,Deadstock (Brand New),225,305.36,Stadium Goods,11,80.36000000000001
TRX-100020,2023-10-24,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),117,165.88,StockX,1,48.879999999999995
TRX-100021,2023-03-12,Air Jordan 1 High,Concord,Used,189,168.98,kick hub 2026,55,-20.02000000000001
TRX-100022,2023-07-03,Air Jordan 1 Low,Concord,Deadstock (Brand New),138,320.72,Walk-in Retail,34,182.72000000000003
TRX-100023,2024-08-30,Air Jordan 1 Low,Lost & Found,VNDS (Very Near Deadstock),130,124.66,Walk-in Retail,37,-5.340000000000003
TRX-100024,2024-06-25,Air Jordan 1 Low,Pine Green,Used,121,96.9,StockX,7,-24.099999999999994
TRX-100025,2024-07-24,Air Jordan 11 Retro,Chicago,Used,229,179.29,GOAT,10,-49.71000000000001
TRX-100026,2023-08-27,Air Jordan 1 Low,Chicago,Used,127,68.52,GOAT,2,-58.480000000000004
TRX-100027,2024-03-13,Air Jordan 1 High,Lost & Found,Deadstock (Brand New),188,612.42,Stadium Goods,10,424.41999999999996
