order_id,order_date,product_id,store_id,customer_id,quantity,unit_price,discount,revenue,cost,profit
0RD00768684,2023-03-12,P0104,S088,C010982,1,11.11,0.0,11.11,5.65,5.46
0RD00766891,2023-06-30,P0016,S028,C017875,1,5.25,0.0,5.25,3.61,1.64
0RD00087760,2024-04-09,P0029,S028,C000788,1,9.47,0.1,8.52,5.64,2.89
0RD00226978,2023-06-16,P0084,S028,C032541,4,14.78,0.2,47.3,29.65,17.65
0RD00022977,2023-10-14,P0119,S065,C029833,5,11.35,0.15,48.24,26.91,21.33
0RD00696478,2023-02-25,P0001,S039,C023888,5,7.45,0.0,37.25,21.23,16.02
0RD00972518,2024-08-10,P0067,S032,C049885,4,3.93,0.0,15.72,10.72,5.0
0RD00899604,2024-06-23,P0080,S030,C004522,5,14.98,0.0,74.9,50.11,24.79
0RD00441218,2024-04-27,P0025,S034,C011192,4,3.29,0.0,13.16,7.53,5.63
0RD00176530,2024-10-26,P0181,S043,C037473,3,8.74,0.0,26.22,14.1,12.12
0RD00813411,2023-05-03,P0013,S066,C032449,4,4.23,0.0,16.92,10.23,6.69
0RD00700642,2024-03-02,P0106,S016,C015277,2,8.94,0.1,16.09,8.12,7.97
0RD00030195,2023-04-03,P0189,S099,C004918,1,6.31,0.0,6.31,3.77,2.54
0RD00857835,2023-03-05,P0045,S089,C032169,3,10.78,0.1,29.11,17.64,11.46
0RD00101986,2023-07-17,P0063,S079,C029840,3,14.68,0.2,35.23,22.99,12.24
0RD00972749,2024-02-11,P0199,S067,C031431,4,11.64,0.0,46.56,25.68,20.88
0RD00098882,2023-11-21,P0079,S080,C017627,1,6.78,0.15,5.76,3.17,2.6
0RD00437445,2023-10-13,P0133,S062,C020754,1,13.72,0.0,13.72,8.97,4.75
0RD00064705,2024-04-09,P0147,S041,C040886,1,3.65,0.0,3.65,2.2,1.45
0RD00461618,2023-04-09,P0177,S003,C022879,2,13.87,0.0,27.74,17.87,9.87
0RD00329615,2023-03-05,P0177,S018,C018061,1,8.95,0.0,8.95,5.82,3.13
0RD00550996,2024-06-01,P0102,S071,C024679,3,4.42,0.0,13.26,7.8,5.46
0RD00119643,2024-07-05,P0184,S018,C020505,2,11.7,0.15,19.89,13.89,6.0
0RD00171899,2023-05-25,P0038,S088,C038241,5,12.89,0.0,64.45,32.75,31.7
0RD00272956,2023-10-21,P0008,S096,C041239,1,6.13,0.0,6.13,3.82,2.31
0RD00948249,2023-12-06,P0083,S015,C010890,2,7.1,0.0,14.2,8.14,6.06
0RD00793511,2024-10-27,P0141,S011,C010652,2,4.12,0.0,8.24,5.11,3.13
0RD00493232,2023-01-29,P0052,S054,C009298,2,3.3,0.2,5.28,2.81,2.47
0RD00489788,2023-07-30,P0124,S078,C034674,5,6.58,0.1,29.61,16.22,13.39
0RD00678838,2024-12-24,P0068,S012,C006984,3,10.2,0.0,30.6,15.94,14.66
0RD00529109,2024-03-15,P0038,S095,C049612,5,11.99,0.0,59.95,40.57,19.38
0RD00359589,2024-05-21,P0162,S050,C047796,1,4.74,0.0,4.74,3.21,1.53
0RD00309007,2023-11-06,P0127,S051,C035475,4,10.13,0.0,40.52,27.34,13.18
0RD00196620,2023-08-07,P0161,S048,C042394,4,3.26,0.2,10.43,5.46,4.97
0RD00741420,2023-08-22,P0104,S100,C013442,1,14.73,0.0,14.73,8.53,6.2
0RD00056385,2024-06-06,P0116,S016,C001178,5,3.66,0.0,18.3,9.6,8.7
0RD00364805,2023-04-22,P0200,S019,C043805,4,11.11,0.0,44.44,29.59,14.85
0RD00591588,2023-05-27,P0109,S088,C029722,4,3.18,0.0,12.72,7.48,5.24
0RD00182059,2024-08-05,P0032,S063,C023589,3,11.42,0.0,34.26,20.66,13.6
0RD00820307,2024-09-12,P0039,S049,C021125,4,11.4,0.0,45.6,31.65,13.95
0RD00409017,2023-12-29,P0031,S060,C041247,4,5.27,0.0,21.08,13.41,7.67
0RD00845772,2023-08-19,P0056,S004,C043787,5,4.41,0.0,22.05,11.86,10.19
0RD00741387,2024-07-09,P0064,S012,C008115,4,10.8,0.2,34.56,18.54,16.02
