id,node_id,fuel_type,price_pence,recorded_at,source_updated_at
20051,61b9f7084b962358dde63699a5001ba452854b26649ca14474dd64a01ea798ec,B7_STANDARD,148,2026-02-10T01:45:52.743Z,2026-01-28T11:29:30.000Z
71711,223148a8f6d3780ed1bffe09bed28972f544570b006dc5e4a52ec2203f2e991e,E5,139.9,2026-03-02T16:37:38.737Z,2026-03-02T16:35:57.067Z
103317,38081ae9b0fa4fd9f5a451f1372150ba34c1611834027fe401695cab13ae66da,B7_STANDARD,141.9,2026-03-05T16:56:06.994Z,2026-03-05T16:54:26.043Z
62639,3b8585ec16a76d990b57c0216fc1f3dabefa2acaed5af7530ef7778399473bda,B7_STANDARD,137.9,2026-02-26T23:07:04.208Z,2026-02-26T22:57:42.361Z
342560,2f86beb959f3acdb79411099d1c6d8647e1697807c489446451f42801cfaf2fc,B7_PREMIUM,207.9,2026-04-03T13:20:06.328Z,2026-04-03T13:17:46.000Z
290215,ca2fe081a86a378c7dbae13a5246b573ebd0272d78be76a80b9e7b5d5e9f8615,B7_STANDARD,181.9,2026-03-28T22:44:02.689Z,2026-03-28T22:40:45.000Z
339478,accfb4a5477fb3e5349e51ff1893acb36528421508c09781aacee45ceec15a26,B10,184.9,2026-04-03T08:08:07.018Z,2026-04-03T08:05:11.000Z
369407,4181e7f5ccb9f87c288e398ea5a80d22532e45b3e32a539b95912403d4c3fbd5,B7_STANDARD,188.9,2026-04-07T21:40:23.600Z,2026-04-07T21:39:03.000Z
40203,e8005ec9ae748ff6e7a967792a5171fc01b5f4384d450d811be68ae0bcae27f6,E10,127.9,2026-02-22T00:44:10.986Z,2026-02-13T16:08:43.082Z
13266,83399b27b287039ee0d0421a0095bb7f75a16c536b5451b8eb2e90b2841696d2,E5,143,2026-02-07T21:40:02.720Z,2026-01-25T05:18:22.000Z
332479,61b9f7084b962358dde63699a5001ba452854b26649ca14474dd64a01ea798ec,E10,162.9,2026-04-02T15:24:04.989Z,2026-04-02T15:21:26.000Z
238928,2aaed0ae8977d9f0a01f3b037031c217e65b19e2d297a8d1904ee9a91b18dc03,B7_STANDARD,175.9,2026-03-23T13:56:03.522Z,2026-03-23T13:55:34.000Z
295569,da1c509bcac7bf7b03da9299ada9f52f650e5af7566d84c92fe876dbf695b3fc,B7_STANDARD,179.9,2026-03-29T22:08:03.049Z,2026-03-29T22:04:13.000Z
154253,81a73d1d7bdb37c245fb945ef8fae91e9a031345363d0e4527fbe35b4001fdd0,E10,131.9,2026-03-11T22:40:16.866Z,2026-03-11T22:39:54.218Z
322729,51eac9515282e304b9f7d344ef1ab432a1552740156b0339f6391d3126db0e12,E10,158.9,2026-04-01T16:28:04.405Z,2026-04-01T17:07:04.000Z
146464,588f80c3b1215066349030cd96513a0a539531f90a07274473c9f0e733e6b174,B7_PREMIUM,176.9,2026-03-10T23:20:07.526Z,2026-03-10T23:18:42.085Z
4888,7ac64fe06523323f02993fd82939cd960055eb19c51b50ed21a4ac073f0909a4,B7_STANDARD,134,2026-02-07T21:40:01.943Z,2026-02-04T15:11:21.000Z
331626,4f7f3008dece59f9298cfa82971225f179bbda91124aa1c73d6e5c410b517519,B7_STANDARD,182.9,2026-04-02T13:52:03.691Z,2026-04-02T13:48:46.000Z
104466,52d165092a9235412cf1202417703da28cd3a52b75cb94499bfda8508b83eb38,B7_STANDARD,141.9,2026-03-05T22:01:19.099Z,2026-03-05T21:59:28.718Z
90838,688aabb7f1b80d58b6de8a74a28660209b738c42be679064b1199e3ad66db724,B7_STANDARD,151.9,2026-03-04T14:49:20.714Z,2026-03-04T14:43:04.669Z
180147,120cc4deb4c374a27636bf1d73e7c7fb437e9a2b9cc7a99085c199fc26d582d5,B7_STANDARD,169.9,2026-03-17T11:12:13.572Z,2026-03-17T10:48:38.000Z
168648,81de5cb3c59a81eab166a3c3a20ac7ca7bd62efc48194029f0dfbd9ec41efcc4,B7_PREMIUM,181.9,2026-03-15T12:16:01.669Z,2026-03-15T11:10:57.000Z
