pmid,title,abstract,abstract_words,journal,pub_year,pub_month,pub_month_num,month_year,doi,authors_count,country,research_type,keywords,major_topic,language,open_access
41737511,Cylindrical silicone applicator for superficial brachytherapy of the finger: Design and manufacturing.,"To design and fabricate a cylindrical silicone applicator for high-dose-rate (HDR) superficial brachytherapy of the fingers, aiming at improving dose coverage, anatomical conformity, and inter-session reproducibility. This device was intended to offer a practical alternative to the limitations of existing commercial applicators. A solid, assemblable negative mold was designed using 3D printing technology. This mold enabled shaping of the final applicator by casting of pre-mixed and degassed room temperature vulcanized (RTV) silicone. Design featured a central cavity, a 93.5° open segment to facilitate anatomical adaptation, and nine equidistant holes for catheter insertions. Applicator's performance was evaluated on hand phantom, considering efficacy, flexibility, and mechanical stability. Dosimetric planning was based on CT investigations, in which a subcutaneous treatment volume was simulated. Each catheter included eight dwell positions, and dwell times were modulated to optimize dose distribution and spatial conformity. The applicator exhibited good flexibility, structural integrity, and appropriate adaptation to different finger morphologies. Catheters remained securely positioned during testing, with no displacements observed. The 100% iso-dose line fully encompassed the target volume, and the maximum surface dose reached 129% of the prescribed dose. Most of 120% isodose was confined within the applicator material, indicating an adequate bolus effect. Dwell time modulation contributed to a uniform dose distribution, especially in peripheral and distal regions of the target volume. The developed applicator represents an effective, accessible, and reproducible solution for the delivery of HDR brachytherapy in superficial finger lesions, supporting its implementation in clinical settings with limited resources.",245,Journal of contemporary brachytherapy,2025,Dec,12,Dec-2025,10.5114/jcb.2025.158206,12,Perú,Journal Article,,,eng,True
38246372,Weakened black carbon trans-boundary transport to the Tibetan Plateau during the COVID-19 pandemic.,"The lockdowns implemented during the coronavirus disease 2019 (COVID-19) pandemic provide a unique opportunity to investigate the impact of emission sources and meteorological conditions on the trans-boundary transportation of black carbon (BC) aerosols to the Tibetan Plateau (TP). In this study, we conducted an integrative analysis, including in-situ observational data, reanalysis datasets, and numerical simulations, and found a significant reduction in the trans-boundary transport of BC to the TP during the 2020 pre-monsoon season as a result of the lockdowns and restrictive measures. Specifically, we observed a decrease of 0.0211 μgm-3 in surface BC concentration over the TP compared to the 2016 pre-monsoon period. Of this reduction, approximately 6.04 % can be attributed to the decrease in emissions during the COVID-19 pandemic, surpassing the 4.47 % decrease caused by changes in meteorological conditions. Additionally, the emission reductions have weakened the trans-boundary transport of South Asia BC to the TP by 0.0179 μgm-2s-1; indicating that the recurring spring atmospheric pollution from South Asia to the TP will be alleviated through the reduction of anthropogenic emissions. Moreover, it is important to note that BC deposition on glaciers contributes significantly to glacier melting due to its enrichment, posing a threat to the water sustainability of the TP. Therefore, urgent measures are needed to reduce emissions from adjacent regions to preserve the TP as the ""Asian Water Tower.""",224,The Science of the total environment,2024,Mar,3,Mar-2024,10.1016/j.scitotenv.2024.170208,7,China,Observational Study; Journal Article,Humans; Tibet; Pandemics; Air Pollutants; Environmental Monitoring; COVID-19; Communicable Disease Control; Respiratory Aerosols and Droplets; Soot; Carbon,Air Pollutants,eng,False
38279349,The Effect of S-Allyl L-Cysteine on Retinal Ischemia: The Contributions of MCP-1 and PKM2 in the Underlying Medicinal Properties.,"Retinal ischemia plays a vital role in vision-threatening retinal ischemic disorders, such as diabetic retinopathy, age-related macular degeneration, glaucoma, etc. The aim of this study was to investigate the effects of S-allyl L-cysteine (SAC) and its associated therapeutic mechanism. Oxidative stress was induced by administration of 500 μM H2O2 for 24 h; SAC demonstrated a dose-dependent neuroprotective effect with significant cell viability effects at 100 μM, and it concurrently downregulated angiogenesis factor PKM2 and inflammatory biomarker MCP-1. In a Wistar rat model of high intraocular pressure (HIOP)-induced retinal ischemia and reperfusion (I/R), post-administration of 100 μM SAC counteracted the ischemic-associated reduction of ERG b-wave amplitude and fluorogold-labeled RGC reduction. This study supports that SAC could protect against retinal ischemia through its anti-oxidative, anti-angiogenic, anti-inflammatory, and neuroprotective properties.",127,International journal of molecular sciences,2024,Jan,1,Jan-2024,10.3390/ijms25021349,4,UK,Journal Article,"Rats; Animals; Rats, Wistar; Cysteine; Hydrogen Peroxide; Reperfusion Injury; Retinal Diseases; Ischemia; Neuroprotective Agents; Anti-Inflammatory Agents",Reperfusion Injury,eng,True
40406286,A Registry-Based Observational Study on the Maternal and Fetal Outcomes of COVID-19 Patients in Hong Kong.,"To report the clinical maternal and fetal outcomes of pregnant women with coronavirus disease 2019 (COVID-19), along with any associated pregnancy complications, in Hong Kong, China, and to assess the impact of COVID-19 vaccination on these outcomes. This prospective registry-based observational study included pregnant women who were recruited through convenient sampling and had a laboratory-confirmed severe acute respiratory syndrome coronavirus 2 infection with a cycle threshold (Ct) value result available on admission to eight local hospitals in Hong Kong, China. Data on clinical symptoms, laboratory results, medical treatments, delivery timing and mode, and pregnancy complications were extracted from the Hospital Authority's electronic medical record system. Maternal, fetal, and pregnancy outcomes were compared between unvaccinated pregnant women with COVID-19 and those who had received at least one dose of COVID-19 vaccine before diagnosis. Nonparametric continuous variables and categorical variables were analyzed using the Mann-Whitney U test and the Pearson's chi-squared test respectively. A P value less than 0.05 was considered statistically significant. A total of 164 pregnant women were included, of whom 78 (47.56%) were nulliparous. COVID-19 was diagnosed before 28 weeks' gestation in 30 (18.29%), while 134 (81.71%) were diagnosed at or after 28 weeks' gestation. Sixty-two (37.80%) women received at least one dose of COVID-19 vaccine. There were no significant differences between vaccinated and unvaccinated groups in the time interval between COVID-19 diagnosis and delivery, the Ct value, and the gestational age at infection onset or delivery (P > 0.05). The majority of women were symptomatic at diagnosis regardless of vaccination status (55 (88.71%) in vaccinated group vs. 78 (76.47%) in unvaccinated group (P = 0.052). Symptoms did not significantly differ between groups except for cough (62.90% vs. 47.06%, P = 0.049). The overall rate of severe COVID-19 in pregnant women was low. In total, 5 (3.05%) patients experienced severe COVID-19, with vaccinated patients more likely to receive low molecular weight heparin (LMWH) as part of their treatment (62.90% vs. 42.16%, P = 0.010). Ninety-two (56.10%) women had a spontaneous vaginal delivery, 7 (4.27%) had an instrumental delivery, and 44 (26.83%) and 21 (12.80%) underwent emergency and elective cesarean sections respectively. For fetal outcomes, 14 (8.48%) babies were born preterm and four (2.65% of nonpreterm babies, n = 151) had low birthweight. The median birthweight percentile was 52.18th. There were no statistically significant differences in pregnancy complications or fetal outcomes between vaccinated and unvaccinated groups. The overall rate of severe COVID-19 in pregnant women was low. COVID-19 vaccination did not significantly impact maternal outcomes, except for the use of LMWH. Additionally, the study found no significant differences in fetal outcomes and pregnancy complications between vaccinated and unvaccinated individuals.",439,"Maternal-fetal medicine (Wolters Kluwer Health, Inc.)",2024,Jul,7,Jul-2024,10.1097/FM9.0000000000000234,12,China,Journal Article,,,eng,True
38390272,A corn-fermented protein ingredient can be included in early nursey diets without compromising pig growth performance and health status.,"In nursery diets, ingredients with high protein content and highly digestible nutrients, such as corn-fermented protein product with added yeast mass (GDDY), can be included as an alternative to common protein sources. This study investigated the dietary inclusion of GDDY as an alternative protein source on growth performance and intestinal health of weaned pigs. A total of 594 weaned pigs (5.7 ± 0.9 kg; 18.5 days of age) were allotted to 36 pens in a randomized incomplete block design. Pens were assigned to one of 4 dietary treatments: CON: a common nursery feeding program; SBM75: CON diet replacing 75% of soybean meal (SBM) with GDDY; FM/ESBM: CON diet without fish meal (FM) and enzyme-treated SBM (ESBM) + GDDY; GDDY50: CON diet replacing 50% of SBM, FM, and ESBM with GDDY. Experimental diets were formulated to meet nutrient requirements of nursery pigs and provided in meal form through four phases during the nursery period. Pig growth performance was assessed on days 7, 14, 21, 28, 42, and 53. Pen fecal score was assessed daily from days 0 to 14, and 3 times per week from days 15 to 35. Intestinal health was assessed based on plasma immunoglobulin A (IgA) concentration and the differential sugar absorption test. The total tract digestibility of dry matter (DM), crude protein (CP), gross energy (GE), and phosphorus was also evaluated. From days 0 to 7 and days 7 to 14, dietary treatment had no effect (P > 0.05) on BW, ADG, and ADFI. For the rest of the experimental period, ADG and ADFI were greater (P < 0.05) in pigs fed CON in comparison with those fed SBM75 and GDDY50 and did not differ from pigs fed FM/ESBM. Pigs fed GDDY50 tended (P = 0.082) to have greater serum IgA concentration on day 20 when compared with SBM75 and FM/ESBM pigs. There were no differences among dietary treatments for DM, CP, and GE digestibility. Phosphorus digestibility was higher in FM/ESBM (P < 0.05) compared with SBM75 and GDDY50. These results supported the hypothesis that GDDY can be incorporated in nursery pig diets during the first couple weeks after weaning without affecting growth performance. However, in the late nursery period, inclusion levels starting at 14% can compromise performance.",371,Translational animal science,2024,Unknown,0,Unknown-2024,10.1093/tas/txad149,4,USA,Journal Article,,,eng,True
40395523,Chaperone-mediated autophagy in fish: A key function amid a changing environment.,"Chaperone-Mediated Autophagy (CMA) is a major pathway of lysosomal proteolysis critical for cellular homoeostasis and metabolism. While extensively studied in mammals, CMA's existence in fish has only been confirmed recently, offering exciting insights into its role in species facing environmental stress. Here, we shed light on the existence of 2 genes encoding the CMA-limiting factor Lamp2A (lysosomal associated membrane protein 2A) in rainbow trout (RT, Oncorhynchus mykiss), revealing distinct expression patterns across various tissues. Notably, RT lacking the most expressed Lamp2A exhibit profound hepatic proteome disturbances during acute nutritional stress, underscoring its pivotal role as a guardian of hepatic proteostasis. Building upon these findings, we introduce and validate the CMA activation score as a reliable indicator of CMA status, providing a valuable tool for detecting cellular stress in fish under environmental threats. Overall, our study offers new perspectives into understanding CMA from evolutionary and environmental contexts.",146,Autophagy reports,2024,Unknown,0,Unknown-2024,10.1080/27694127.2024.2403956,16,France,Journal Article,,,eng,True
37659760,Gastroprotective potential of red onion (Allium cepa L.) peel in ethanol-induced gastric injury in rats: Involvement of Nrf2/HO-1 and HMGB-1/NF-κB trajectories.,"The utilization of plants with therapeutic properties in traditional medicine has a longstanding practice. Among them, the well-known Allium cepa L. commonly known as onion has been valued for its anti-inflammatory and antioxidant potential in the treatment of various ailments, including gastric ulcers. This study investigated the gastroprotective potential of red onion peel extract and its fractions in a rat model of ethanol-induced gastric ulcer. Moreover, their phytochemical profiles were compared to identify the active metabolites. Mass spectrometry-based metabolomics and chemometrics were performed for phytochemical analysis. Ethanol-induced gastric ulcer model was used to assess the gastroprotective activity. Nine groups of rats were allocated as follows: Group 1 was the normal control; Group 2 rats were used as a positive control/model and received 1 mL of absolute ethanol; and Group 3 rats were treated with famotidine at a dose of 20 mg/kg orally. Group 4 and 5 rats were treated with total acidified ethanolic extract (T1, T2). Group 6 and 7 rats were treated with anthocyanins-rich fractions (P1, P2). Groups 8 and 9 were the flavonoids-rich fraction (S1, S2) treatment. Prior to scarification, the ulcer index in mm was obtained from gastric tissues photographed beside a ruler with further analysis using ImageJ software. Seventy key major and discriminatory metabolites were identified including flavonoids, anthocyanins, phenolic acids, and miscellaneous compounds. The examined extract and its fractions significantly reduced the ulcer index and inflammatory cytokines via downregulating HMGB-1/NF-κB. Also, they augmented the expression of Nrf2/HO-1 and reduced NOX1/4 mRNA expression. Moreover, there was a significant reduction in the oxidative stress and apoptotic biomarkers as well as a noticeable enhancement in histopathological changes of the stomach tissues. Red onion peels have a promising dose dependent gastroprotective potential in alcohol-induced ulcers via modulating Nrf2/HO-1 and HMGB-1/NF-κB trajectories. This highlights the potential of red onion peels in treating gastric ulcers.",304,Journal of ethnopharmacology,2024,Jan,1,Jan-2024,10.1016/j.jep.2023.117115,11,Egypt,Journal Article,Rats; Animals; Stomach Ulcer; Ethanol; Onions; NF-kappa B; Ulcer; Anthocyanins; NF-E2-Related Factor 2; Plant Extracts,Stomach Ulcer,eng,False
40125368,"Cardiovascular Outcomes, Health-Promoting Behaviors, and Social Determinants: Structural Racism and the Behavioral Risk Factor Surveillance System.","Cardiovascular disease disproportionately affects historically marginalized populations in the United States. This study explored disparities in cardiovascular health outcomes, social determinants of health, and health-promoting behaviors across racial and ethnic groups. Using data from the 2019 Behavioral Risk Factor Surveillance System, we conducted a descriptive analysis of cardiovascular conditions and diabetes, social determinants of health, and health-promoting behaviors across eight racial/ethnic categories. Historically marginalized groups had higher rates of cardiovascular conditions and greater barriers to health care access. However, these groups often demonstrated equal or higher rates of engagement in health-promoting behaviors compared with White adults. For example, Black adults had the highest hypertension prevalence (41%) despite having the highest rates of blood pressure management behaviors. The persistence of health disparities despite equivalent health-promoting behaviors suggests a significant influence of structural factors like racism. Critical examination using Quantitative Critical Theory revealed potential biases in measurement tools and data categorization that may perpetuate inequities. Findings underscore the need for equity-focused research approaches that explicitly address structural racism. Future studies should prioritize culturally relevant measures, clinically meaningful outcomes, and active involvement of researchers from marginalized communities to advance cardiovascular health equity.",189,Health equity,2024,Unknown,0,Unknown-2024,10.1089/heq.2023.0203,6,USA,Journal Article,,,eng,True
38244338,Validation of the Sustainability Attitudes in Nursing Survey-2 for nurses: A cross-sectional study.,"To validate the Sustainability Attitudes in Nursing Survey-2 for nurses. Climate change and environmental sustainability is an increasing global issue. Nurses' behaviors could produce harmful emission through their activities, while nurses also care for people with climate change-related health problems. Therefore, nurses have a responsibility of achieving environmental sustainability. To enhance environmental sustainability in nursing, examining attitudes toward climate change and environmental sustainability among nurses from diverse culture is needed. Cross-sectional design using secondary data. Data from 349 nurses working at tertiary hospitals in Korea were collected in August 2022. The content validity index and the construct, convergent, discriminant and criterion validities were evaluated. Cronbach's alpha and intraclass correlation coefficient were also evaluated to determine reliability. The survey comprised five items with single factor, similar to its original version. Its validity and reliability were acceptable. Cronbach's α was .86. The intraclass correlation coefficient was .81 for the entire scale. This study found the Sustainability Attitudes in Nursing Survey-2 to be a valid and reliable tool for measuring nurses' attitudes toward environmental sustainability. Understanding nurses' attitudes and the educational needs related to environmental sustainability could help develop a more environmentally sustainable workplace in nursing.",193,Nurse education in practice,2024,Feb,2,Feb-2024,10.1016/j.nepr.2024.103898,3,South Korea,Journal Article,Humans; Cross-Sectional Studies; Reproducibility of Results; Attitude; Surveys and Questionnaires; Educational Status; Psychometrics,Attitude,eng,False
39564331,Association of Self-reported Depressed Mood and Alcohol or Tobacco Use Among Older Adults in India: A Study Based on Longitudinal Aging Study India Wave-1.,"Little information exists about the association between alcohol and tobacco use and self-reported depressed mood, such as feeling sad, blue, or depressed days (SBDD), among older adults in India. The aim of this study was to examine the association between alcohol and tobacco use and self-reported depressed mood with SBDD among older adults in India. This study uses the Longitudinal Aging Study India (LASI) Wave 1 dataset of 10,487 respondents identified with self-reported mood disorders with SBDD. Descriptive statistics, bivariate, and multivariate models were performed. In total, 19.7% of persons above 45 years of age experienced SBDD for 2 weeks during the last 12 months. Compared to nonusers, those who used tobacco or alcohol reported higher symptoms of SBDD. Several factors related to alcohol (e.g., illicit alcohol) and tobacco (e.g., smokeless tobacco) indicate a statistically significant association with the prevalence of prolonged sadness or depression. Analysis of LASI Wave 1 shows that lifestyle choices such as alcohol and tobacco use play a role in the burden and association of negative emotions such as SBDD among older adults in India.",179,Indian journal of psychological medicine,2025,Sep,9,Sep-2025,10.1177/02537176241253338,5,India,Journal Article,,,eng,True
