job_title,country,experience_level,education_level,year,salary,ai_risk_score,primary_skill,skill_demand_score,job_openings,job_survival_class,salary_bucket,ai_risk_category
Data Scientist,USA,Senior,Master,2022,61931.03,0.32,Python,88,39158,2,High,Medium Risk
Software Engineer,India,Senior,Bachelor,2032,21330.84,0.52,Java,80,7265,1,High,Medium Risk
Data Scientist,Canada,Mid,Bachelor,2015,24211.17,0.25,Python,70,22962,1,High,Low Risk
Data Scientist,India,Entry,PhD,2034,11794.86,0.44,Python,95,17023,1,Medium,Medium Risk
Data Analyst,Canada,Entry,PhD,2035,17999.26,0.75,SQL,61,3433,0,Medium,High Risk
DevOps Engineer,UK,Entry,Master,2033,29676.4,0.38,Docker,80,18568,1,High,Medium Risk
Cybersecurity Analyst,USA,Entry,PhD,2028,27813.44,0.28,Security,81,7396,1,High,Low Risk
Cloud Engineer,Germany,Entry,Bachelor,2025,24684.38,0.35,AWS,86,26658,1,High,Medium Risk
Data Scientist,USA,Mid,Bachelor,2026,45617.71,0.36,Python,87,3747,2,High,Medium Risk
Cloud Engineer,Canada,Mid,Bachelor,2029,39526.54,0.39,AWS,62,4556,1,High,Medium Risk
DevOps Engineer,USA,Mid,Bachelor,2032,56686.09,0.37,Docker,80,15502,2,High,Medium Risk
Cybersecurity Analyst,Australia,Senior,Master,2033,47853.7,0.33,Security,84,44323,2,High,Medium Risk
Software Engineer,Australia,Entry,Bachelor,2022,20842.62,0.42,Java,68,24897,1,High,Medium Risk
Cybersecurity Analyst,USA,Entry,Bachelor,2027,26043.05,0.27,Security,79,24483,1,High,Low Risk
Cybersecurity Analyst,UK,Senior,Master,2020,37951.56,0.2,Security,67,45974,2,High,Low Risk
Cloud Engineer,Germany,Entry,PhD,2023,22310.64,0.33,AWS,76,27531,1,High,Medium Risk
Data Scientist,Canada,Senior,Bachelor,2032,55147.38,0.42,Python,63,20457,1,High,Medium Risk
Software Engineer,India,Mid,Master,2023,10992.95,0.43,Java,63,41757,1,Medium,Medium Risk
DevOps Engineer,India,Senior,Master,2016,14701.85,0.21,Docker,77,7873,1,Medium,Low Risk
Software Engineer,USA,Mid,Master,2023,38667.48,0.43,Java,69,27557,1,High,Medium Risk
Data Scientist,India,Senior,PhD,2025,21163.97,0.35,Python,90,12534,1,High,Medium Risk
Software Engineer,Australia,Mid,Master,2035,35680.12,0.55,Java,82,26851,1,High,Medium Risk
Business Analyst,India,Mid,Bachelor,2022,7699.62,0.72,Excel,99,25276,0,Low,High Risk
DevOps Engineer,Canada,Mid,PhD,2033,41105.95,0.38,Docker,77,18262,1,High,Medium Risk
AI Researcher,Canada,Mid,Master,2022,43586.94,0.12,Deep Learning,85,22243,2,High,Low Risk
ML Engineer,Canada,Mid,Bachelor,2016,32823.93,0.16,Python,88,49984,2,High,Low Risk
Data Scientist,India,Senior,Bachelor,2028,22880.32,0.38,Python,83,3027,1,High,Medium Risk
Product Manager,USA,Mid,Master,2034,60582.5,0.49,Strategy,70,23002,2,High,Medium Risk
Business Analyst,Canada,Mid,PhD,2015,18952.96,0.65,Excel,94,13666,1,Medium,High Risk
Data Scientist,Australia,Senior,Master,2035,59279.62,0.45,Python,98,39952,2,High,Medium Risk
Cloud Engineer,USA,Mid,Master,2020,47949.47,0.3,AWS,68,31535,2,High,Medium Risk
Business Analyst,USA,Senior,PhD,2023,45109.29,0.73,Excel,92,24599,1,High,High Risk
DevOps Engineer,India,Senior,Bachelor,2035,24548.92,0.4,Docker,83,31818,1,High,Medium Risk
Cybersecurity Analyst,Australia,Senior,PhD,2021,41363.23,0.21,Security,81,25538,2,High,Low Risk
ML Engineer,Germany,Entry,PhD,2031,31460.69,0.31,Python,94,48716,2,High,Medium Risk
Data Analyst,Canada,Mid,Master,2015,17071.74,0.55,SQL,62,18412,0,Medium,Medium Risk
Data Scientist,Germany,Mid,Bachelor,2016,26065.58,0.26,Python,73,26446,1,High,Low Risk
Software Engineer,Canada,Entry,Bachelor,2030,21567.97,0.5,Java,74,22518,1,High,Medium Risk
Data Scientist,Canada,Entry,Bachelor,2030,24336.28,0.4,Python,72,49702,1,High,Medium Risk
DevOps Engineer,India,Mid,PhD,2034,17789.83,0.39,Docker,91,23403,1,Medium,Medium Risk
AI Researcher,India,Senior,PhD,2021,24885.62,0.11,Deep Learning,82,7374,2,High,Low Risk
Cybersecurity Analyst,UK,Senior,PhD,2026,46629.98,0.26,Security,88,34827,2,High,Low Risk
Business Analyst,Canada,Mid,Bachelor,2022,23972.5,0.72,Excel,66,10914,0,High,High Risk
Software Engineer,USA,Mid,Bachelor,2033,50399.8,0.53,Java,87,44585,2,High,Medium Risk
DevOps Engineer,India,Senior,Bachelor,2015,16141.72,0.2,Docker,65,30467,1,Medium,Low Risk
Data Scientist,Australia,Senior,Bachelor,2022,51981.29,0.32,Python,79,49925,2,High,Medium Risk
Data Scientist,USA,Mid,Bachelor,2031,55770.78,0.41,Python,87,22976,2,High,Medium Risk
Software Engineer,Germany,Senior,Master,2021,38375.4,0.41,Java,92,31080,2,High,Medium Risk
DevOps Engineer,India,Senior,PhD,2033,22935.21,0.38,Docker,72,10474,1,High,Medium Risk
Business Analyst,India,Mid,Master,2021,7445.48,0.71,Excel,67,6530,0,Low,High Risk
Data Scientist,USA,Senior,Master,2026,68671.64,0.36,Python,96,32968,2,High,Medium Risk
AI Researcher,UK,Mid,PhD,2016,34641.6,0.06,Deep Learning,83,35766,2,High,Low Risk
Data Scientist,USA,Mid,PhD,2025,42481.45,0.35,Python,91,31303,2,High,Medium Risk
Data Scientist,India,Entry,Bachelor,2032,10692.83,0.42,Python,71,45417,1,Medium,Medium Risk
Business Analyst,India,Mid,Bachelor,2023,9048.5,0.73,Excel,96,21080,0,Low,High Risk
Business Analyst,India,Entry,Master,2032,8135.56,0.82,Excel,61,38505,0,Low,High Risk
Data Scientist,USA,Senior,PhD,2015,51565.89,0.25,Python,82,25548,2,High,Low Risk
Data Scientist,India,Entry,Master,2030,9835.49,0.4,Python,60,47717,1,Low,Medium Risk
Business Analyst,India,Mid,Bachelor,2020,7478.28,0.7,Excel,85,39559,0,Low,High Risk
AI Researcher,USA,Mid,Master,2029,65293.48,0.19,Deep Learning,63,33970,2,High,Low Risk
Cybersecurity Analyst,UK,Senior,PhD,2032,52501.69,0.32,Security,76,26342,2,High,Medium Risk
Business Analyst,India,Entry,Master,2021,6132.55,0.71,Excel,64,41545,0,Low,High Risk
Data Analyst,Canada,Senior,PhD,2016,24745.67,0.56,SQL,70,45542,1,High,Medium Risk
Cloud Engineer,USA,Entry,PhD,2030,35875.41,0.4,AWS,92,28848,2,High,Medium Risk
DevOps Engineer,Canada,Entry,Bachelor,2031,27269.03,0.36,Docker,65,16708,1,High,Medium Risk
Data Scientist,India,Entry,PhD,2017,7951.8,0.27,Python,95,7546,1,Low,Low Risk
Software Engineer,UK,Entry,PhD,2022,22245.77,0.42,Java,78,12411,1,High,Medium Risk
Product Manager,Canada,Entry,PhD,2017,22829.95,0.32,Strategy,92,19343,1,High,Medium Risk
AI Researcher,Australia,Senior,PhD,2031,76156.84,0.21,Deep Learning,77,12111,2,High,Low Risk
Cloud Engineer,Germany,Entry,PhD,2025,23210.79,0.35,AWS,87,9120,1,High,Medium Risk
Software Engineer,Germany,Mid,Bachelor,2035,33217.01,0.55,Java,82,22918,1,High,Medium Risk
Cybersecurity Analyst,UK,Mid,Bachelor,2015,25596.14,0.15,Security,94,17646,2,High,Low Risk
Business Analyst,Canada,Senior,Bachelor,2017,29863.92,0.67,Excel,85,26199,1,High,High Risk
DevOps Engineer,India,Senior,Master,2019,17834.75,0.24,Docker,61,32616,1,Medium,Low Risk
Cloud Engineer,USA,Entry,Master,2024,31441.17,0.34,AWS,71,21932,1,High,Medium Risk
ML Engineer,UK,Senior,PhD,2024,69133.99,0.24,Python,68,8400,2,High,Low Risk
Product Manager,Australia,Senior,Bachelor,2032,68207.28,0.47,Strategy,75,2154,2,High,Medium Risk
Cybersecurity Analyst,Australia,Entry,Bachelor,2023,21340.24,0.23,Security,92,13183,1,High,Low Risk
Data Scientist,USA,Senior,PhD,2019,62926.92,0.29,Python,67,6539,2,High,Low Risk
Cybersecurity Analyst,Germany,Senior,Bachelor,2025,44740.52,0.25,Security,79,49354,2,High,Low Risk
Software Engineer,Australia,Senior,Master,2031,52568.03,0.51,Java,84,17482,1,High,Medium Risk
Business Analyst,Germany,Entry,Bachelor,2035,21456.76,0.85,Excel,77,47975,0,High,High Risk
AI Researcher,Germany,Entry,Bachelor,2025,28423.73,0.15,Deep Learning,61,3869,1,High,Low Risk
ML Engineer,Australia,Mid,Bachelor,2029,45533.42,0.29,Python,95,25736,2,High,Low Risk
DevOps Engineer,Australia,Mid,PhD,2015,25617.49,0.2,Docker,73,26876,1,High,Low Risk
Data Scientist,USA,Senior,Bachelor,2032,74182.73,0.42,Python,67,47214,2,High,Medium Risk
Data Analyst,Germany,Senior,PhD,2019,26313.54,0.59,SQL,92,5555,1,High,Medium Risk
AI Researcher,India,Entry,Master,2026,12124.34,0.16,Deep Learning,81,20830,1,Medium,Low Risk
Data Analyst,Germany,Entry,PhD,2022,12070.92,0.62,SQL,89,15373,0,Medium,High Risk
Data Scientist,Germany,Senior,Master,2034,64513.96,0.44,Python,67,20738,2,High,Medium Risk
ML Engineer,India,Entry,Bachelor,2028,11522.8,0.28,Python,80,33352,1,Medium,Low Risk
Data Analyst,India,Senior,Master,2028,12702.41,0.68,SQL,92,30124,1,Medium,High Risk
Software Engineer,Germany,Entry,PhD,2018,16241.09,0.38,Java,78,38410,1,Medium,Medium Risk
AI Researcher,USA,Mid,Bachelor,2021,56573.73,0.11,Deep Learning,76,19589,2,High,Low Risk
Business Analyst,Germany,Mid,Bachelor,2022,23097.39,0.72,Excel,65,48202,0,High,High Risk
Data Analyst,Australia,Entry,Master,2025,15472.37,0.65,SQL,96,19711,1,Medium,High Risk
Cybersecurity Analyst,USA,Mid,Master,2035,45988.74,0.35,Security,90,1699,2,High,Medium Risk
DevOps Engineer,UK,Senior,PhD,2025,61377.61,0.3,Docker,80,36743,2,High,Medium Risk
Data Analyst,USA,Mid,Bachelor,2033,34611.15,0.73,SQL,62,27641,0,High,High Risk
Cybersecurity Analyst,USA,Entry,PhD,2028,29275.59,0.28,Security,90,24093,2,High,Low Risk
Cloud Engineer,Australia,Mid,Master,2034,48457.13,0.44,AWS,99,37631,2,High,Medium Risk
DevOps Engineer,USA,Mid,PhD,2021,40840.45,0.26,Docker,81,19070,2,High,Low Risk
Cybersecurity Analyst,USA,Senior,Master,2015,41412.75,0.15,Security,86,11729,2,High,Low Risk
DevOps Engineer,Canada,Senior,PhD,2021,51968.01,0.26,Docker,76,28751,2,High,Low Risk
Cloud Engineer,UK,Entry,PhD,2025,29132.39,0.35,AWS,98,6801,1,High,Medium Risk
Product Manager,Germany,Senior,Bachelor,2024,58157.41,0.39,Strategy,94,30592,2,High,Medium Risk
DevOps Engineer,Germany,Senior,Master,2025,52329.12,0.3,Docker,66,25376,2,High,Medium Risk
AI Researcher,Australia,Mid,PhD,2019,40317.56,0.09,Deep Learning,79,3368,2,High,Low Risk
Software Engineer,UK,Senior,Master,2020,39739.76,0.4,Java,75,11893,1,High,Medium Risk
Product Manager,Canada,Mid,Master,2032,48670.67,0.47,Strategy,82,14403,1,High,Medium Risk
Data Analyst,Germany,Mid,Bachelor,2028,21178.87,0.68,SQL,91,11966,1,High,High Risk
Product Manager,Canada,Senior,Master,2029,65878.17,0.44,Strategy,84,23677,2,High,Medium Risk
Business Analyst,UK,Senior,Bachelor,2031,44302.47,0.81,Excel,81,32024,1,High,High Risk
Business Analyst,Australia,Entry,PhD,2017,12726.17,0.67,Excel,65,30749,0,Medium,High Risk
Cybersecurity Analyst,Canada,Senior,PhD,2034,52431.49,0.34,Security,96,49096,2,High,Medium Risk
Cloud Engineer,USA,Entry,PhD,2024,36470.86,0.34,AWS,64,22606,1,High,Medium Risk
Software Engineer,India,Entry,Bachelor,2016,5950.86,0.36,Java,91,33093,1,Low,Medium Risk
Software Engineer,UK,Senior,Bachelor,2029,54112.23,0.49,Java,99,8987,2,High,Medium Risk
AI Researcher,Australia,Senior,Bachelor,2027,66344.62,0.17,Deep Learning,89,27258,2,High,Low Risk
Business Analyst,UK,Entry,Bachelor,2035,23247.99,0.85,Excel,78,29251,0,High,High Risk
Data Analyst,USA,Mid,Bachelor,2020,25328.73,0.6,SQL,85,26316,1,High,High Risk
DevOps Engineer,UK,Entry,PhD,2022,23329.67,0.27,Docker,82,2150,1,High,Low Risk
Data Scientist,UK,Entry,Master,2031,30144.96,0.41,Python,60,2081,1,High,Medium Risk
DevOps Engineer,Canada,Mid,Master,2034,46420.3,0.39,Docker,93,47175,2,High,Medium Risk
DevOps Engineer,UK,Senior,Master,2020,51214.31,0.25,Docker,84,46543,2,High,Low Risk
Business Analyst,UK,Mid,Bachelor,2035,34085.9,0.85,Excel,60,4343,0,High,High Risk
Cybersecurity Analyst,Canada,Mid,PhD,2022,26830.29,0.22,Security,64,48893,2,High,Low Risk
Cybersecurity Analyst,UK,Entry,PhD,2024,22131.64,0.24,Security,62,20531,1,High,Low Risk
Software Engineer,Germany,Mid,Master,2032,34423.72,0.52,Java,96,8253,1,High,Medium Risk
Data Scientist,India,Entry,Bachelor,2027,8595.41,0.37,Python,73,10435,1,Low,Medium Risk
ML Engineer,Australia,Entry,Bachelor,2028,28662.73,0.28,Python,89,31445,2,High,Low Risk
