brand,condition,Case_Size_mm,Country,price,Seller_ID,Is_Worldwide_Shipping,title
Garmin,Used,,Japan,999.76,Seller_0001,1,Garmin fenix 7 Pro Sapphire Dual Power Watch 47x47x14.5mm DLC Titanium
Garmin,Used,,Japan,928.0,Seller_0002,1,Garmin Descent Mk1 Dive Computer Smartwatch GPS Silver
Garmin,Used,50.0,Japan,934.92,Seller_0001,1,Garmin Fenix 7X Pro Solar Sapphire 50mm GPS Multisport Smartwatch Ultra
Garmin,New,,Canada,1200.0,Seller_0003,0,garmin tactix 7 amoled edition BNIB
Garmin,Used,43.0,Japan,962.08,Seller_0001,1,Garmin Descent MK2S GPS Watch 43mm Light Sand Light Gold Smartwatch GPS
Garmin,Used,,Japan,902.28,Seller_0001,1,Garmin Descent Mk1 Dive Computer Smartwatch GPS Silver Excellent Condition
Garmin,Used,,Japan,913.36,Seller_0001,1,Garmin Venu X1 Black Smartwatch GPS Multisport Fitness Watch
Garmin,Used,47.0,Japan,911.44,Seller_0001,1,Garmin Venu X1 AMOLED Sapphire Titanium 47mm GPS Smartwatch Multisport
Garmin,Used,,Japan,908.06,Seller_0001,1,Garmin Epix GPS Porsche Design Smartwatch
Garmin,Used,,Japan,884.9,Seller_0001,1,Garmin Tacx FLUX S Smart Direct Drive Trainer Quiet Operation Ultra Smooth
Garmin,Used,,Japan,921.31,Seller_0001,1,GARMIN FENIX 7X PRO Watch Multi-sport GPS Sapphire Dual Power Japan Limited
Garmin,Used,51.0,Japan,917.32,Seller_0004,1,"Garmin Epix Pro Gen2 51mm Like  Touchscreen Smartwatch, Unused Condition"
Apple,Used,,South Korea,949.56,Seller_0005,1,Apple Watch Ultra 2 Used with Optional Strap
Apple,New,38.0,United Kingdom,699.99,Seller_0006,1,Rare 2016 Apple Smart Watch A1553 38mm Silver Aluminum Case - Sport Band - White
Garmin,Used,,Japan,870.8,Seller_0001,1,Garmin Fenix 7X Sapphire Dual Power Ti GPS Smartwatch Chestnut Leather
Apple,Used,41.0,Japan,835.88,Seller_0007,0,[Limited Rare] Apple Watch Hermès Series 8 41mm Gourmette
Apple,New,42.0,United Kingdom,750.25,Seller_0008,0,Apple Watch Series 11 GPS + Cellular 42mm Natural Titanium Case with Stone Grey
Apple,New,49.0,United Kingdom,749.99,Seller_0009,0,Apple Watch Ultra 2 (GPS + Cellular) 49MM Titanium Case Blue/Black Trail S/M VAT
Apple,Used,45.0,United States,998.0,Seller_0010,0,Apple Watch Hermes Series 9 45mm Silver Stainless Orange Sport Band M/L  A2984
Garmin,Used,51.0,Japan,847.37,Seller_0001,1,Garmin Descent G2 GPS Dive Computer Black Digital 51mm Multimode
Apple,Used,,United States,1000.0,Seller_0011,0,"MacBook, Watch, iPad and pro pencil  Bundle"
Apple,Used,,Greece,1000.0,Seller_0012,0,Apple Watch Ultra 3  Titanium  With Statos Band
Apple,New,42.0,United States,1000.0,Seller_0013,0,Apple Watch Series 3 GPS 42mm Silver Aluminum Case White Sport Band - MTF22LL/A
Apple,Open box,,United States,1000.0,Seller_0014,0,Apple Watch Series 4 44m Aluminium Space Gray Case Black Sport Strap - 3E068LL/A
Apple,Used,49.0,United States,1000.0,Seller_0015,0,"Apple Watch Ultra 49mm Titanium Case with Orange Alpine Loop, Large (GPS +..."
Apple,Open box,44.0,United States,999.0,Seller_0016,0,Apple Watch Series 6 GPS 44mm - Blue Aluminum Case with Deep Navy Sport Band
Garmin,New,43.0,United States,999.99,Seller_0017,1,Garmin Fenix 8 Titanium Sapphire AMOLED GPS Smartwatch 43mm Black
Apple,Open box,49.0,United States,1000.0,Seller_0018,0,Watch Ultra 2 49mm Titanium Cellular /gps
Apple,New,40.0,United States,1000.0,Seller_0019,0,Sealed Apple Watch SE (2022) 40mm Starlight Aluminum with Sport Band M/L (GPS...
Apple,Used,45.0,United States,1000.0,Seller_0020,1,Hermes Apple Watch series 9 with 2 bands 45mm
Apple,Used,,United States,999.0,Seller_0021,0,Apple Watch Series 10 GPS Jet Black Brand New Condition Fast Shipping
Garmin,Used,,Japan,878.05,Seller_0001,1,GARMIN Cycle Computer Palm Sized Yellow Cycling Device Compact Handheld
