iso_code,country,year,sex,age_group,homicide_rate
AFG,Afghanistan,2009,both,ALL,4.0595497
AFG,Afghanistan,2010,both,ALL,3.4754523
AFG,Afghanistan,2011,both,ALL,4.1945354
AFG,Afghanistan,2012,both,ALL,6.3743385
AFG,Afghanistan,2015,both,ALL,9.9521859
AFG,Afghanistan,2016,both,ALL,6.6799975
AFG,Afghanistan,2017,both,ALL,6.7920212
AFG,Afghanistan,2018,both,ALL,6.7332482
AFG,Afghanistan,2018,female,ALL,1.4357685
AFG,Afghanistan,2019,both,ALL,7.1639670
AFG,Afghanistan,2019,female,ALL,1.2702497
AFG,Afghanistan,2020,both,ALL,6.5781089
AFG,Afghanistan,2021,both,ALL,4.0324585
ALB,Albania,1992,both,ALL,3.9603948
ALB,Albania,1992,female,ALL,0.8531953
ALB,Albania,1992,male,ALL,7.0662316
ALB,Albania,1993,both,ALL,5.8270356
ALB,Albania,1993,female,ALL,0.9740439
ALB,Albania,1993,male,ALL,10.7021333
ALB,Albania,1994,both,ALL,3.4256951
ALB,Albania,1994,female,ALL,0.7304811
ALB,Albania,1994,male,ALL,6.1475794
ALB,Albania,1995,both,ALL,7.9482791
ALB,Albania,1995,female,ALL,1.5835674
ALB,Albania,1995,male,ALL,14.4120339
ALB,Albania,1996,both,ALL,8.3803754
ALB,Albania,1996,female,ALL,1.7071817
ALB,Albania,1996,male,ALL,15.1973034
ALB,Albania,1997,both,ALL,41.3046639
ALB,Albania,1997,female,ALL,10.8122505
ALB,Albania,1997,male,ALL,72.6472449
ALB,Albania,1998,both,ALL,20.5598990
ALB,Albania,1998,female,ALL,5.3298814
ALB,Albania,1998,male,ALL,36.3157915
ALB,Albania,1999,both,ALL,16.6844619
ALB,Albania,1999,female,ALL,3.9962042
ALB,Albania,1999,male,ALL,29.8965720
ALB,Albania,2000,both,ALL,4.1375204
ALB,Albania,2000,female,ALL,0.8022854
ALB,Albania,2000,male,ALL,7.6337038
ALB,Albania,2001,both,ALL,6.9886896
ALB,Albania,2001,female,ALL,2.4174952
ALB,Albania,2001,male,ALL,11.7938090
ALB,Albania,2002,both,ALL,6.8919483
ALB,Albania,2002,female,ALL,2.4312949
ALB,Albania,2002,male,ALL,11.5685632
ALB,Albania,2003,both,ALL,5.3237762
ALB,Albania,2003,female,ALL,1.3183667
ALB,Albania,2003,male,ALL,9.5069032
ALB,Albania,2004,both,ALL,4.2276373
ALB,Albania,2004,female,ALL,1.2024593
ALB,Albania,2004,male,ALL,7.3753961
ALB,Albania,2005,both,ALL,5.0062432
ALB,Albania,2005,female,ALL,1.3410416
ALB,Albania,2005,male,ALL,8.8067106
ALB,Albania,2006,both,ALL,3.1139287
