OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-03-26T10:53:58.905600,13.76519324,.002524,90.2177,69.8332,177.4991,280.3186,0,U,900,999,6004,.64393E-3,.641E-5,0
CALSPHERE 2,1964-063E,2026-03-26T10:32:51.542016,13.52893413,.0020545,90.2297,73.8227,105.9157,58.2268,0,U,902,999,84507,.10578E-3,.79E-6,0
LCS 1,1965-034C,2026-03-26T11:18:06.358752,9.89309880,.0013303,32.1469,13.4189,189.6301,170.3942,0,U,1361,999,20169,.28884E-3,.11E-6,0
TEMPSAT 1,1965-065E,2026-03-26T09:06:57.610944,13.33590180,.0071361,89.9971,212.5813,120.6170,301.0425,0,U,1512,999,94901,.70762E-4,.45E-6,0
CALSPHERE 4A,1965-065H,2026-03-26T11:49:57.128448,13.36262233,.0068659,89.9000,123.3105,338.6285,129.9841,0,U,1520,999,95166,.14541E-3,.85E-6,0
OPS 5712 (P/L 160),1967-053A,2026-03-26T12:01:50.100384,14.76484298,.0003271,69.9162,240.7728,215.9590,144.1338,0,U,2826,999,5402,.12852E-2,.8899E-4,0
LES-5,1967-066E,2026-03-26T10:29:21.989184,1.09425032,.005545,2.4316,98.8802,210.1721,190.7857,0,U,2866,999,13013,0,-.6E-6,0
SURCAL 159,1967-053F,2026-03-26T12:59:26.269728,13.99580920,.0009055,69.9748,178.7910,235.7574,124.2676,0,U,2872,999,99864,.88899E-4,.76E-6,0
OPS 5712 (P/L 153),1967-053H,2026-03-26T13:22:48.156384,13.96815184,.0009678,69.9727,292.4165,293.8579,66.1512,0,U,2874,999,99524,.77032E-4,.54E-6,0
OPS 3811 (DSP 2),1971-039A,2026-03-26T11:15:18.548352,0.98161407,.0023615,0.2420,11.7472,281.6715,19.2962,0,U,5204,999,20541,0,-.166E-5,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-03-26T12:20:04.878240,14.37766831,.006104,87.6281,1.7506,145.2247,215.2966,0,U,5398,999,86200,.21428E-3,.677E-5,0
OSCAR 7 (AO-7),1974-089B,2026-03-26T11:53:58.034112,12.53696671,.0011867,101.9959,97.8669,289.3476,237.4556,0,U,7530,999,35015,.10647E-3,-.29E-6,0
STARLETTE,1975-010A,2026-03-26T11:03:35.635968,13.82349321,.0205625,49.8231,71.1264,149.7473,211.5479,0,U,7646,999,58309,-.55859E-5,-.151E-5,0
LAGEOS 1,1976-039A,2026-03-26T13:12:01.761696,6.38664794,.0044665,109.8129,151.0554,319.9757,37.2616,0,U,8820,999,90785,0,-.6E-7,0
OPS 8701 (DSP 10),1982-019A,2026-03-26T08:43:11.470944,0.98188344,.0005052,9.4583,309.8176,326.1970,329.7887,0,U,13086,999,2484,0,-.97E-6,0
PHASE 3B (AO-10),1983-058B,2026-03-25T08:37:11.679744,2.05874335,.60409983,25.9114,233.6020,92.4738,333.4977,0,U,14129,999,29376,0,-.351E-5,0
UOSAT 2 (UO-11),1984-021B,2026-03-26T09:20:40.140672,14.90561604,.0009158,97.7975,51.9418,96.3066,263.9196,0,U,14781,999,24479,.17302E-3,.1637E-4,0
AJISAI (EGS),1986-061A,2026-03-26T12:11:36.156768,12.44515624,.0011329,50.0107,41.6295,330.3501,136.7077,0,U,16908,999,47009,-.20235E-4,-.1E-5,0
TDRS 3,1988-091B,2026-03-26T02:39:11.522592,1.00270087,.00425359,12.6651,341.5496,354.4963,198.4185,0,U,19548,999,12455,0,-.308E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-03-26T10:09:37.286208,2.13155929,.0023385,64.8987,75.0243,217.6386,317.7475,0,U,19751,999,28960,0,.42E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-03-26T05:35:34.915200,2.13204476,.0020494,64.9843,313.3948,213.1806,319.3904,0,U,20026,999,28673,0,-.22E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-03-25T14:50:38.575392,1.00276612,.00081471,12.4446,351.6652,355.3721,184.4206,0,U,20253,999,25972,0,-.374E-5,0
LUSAT (LO-19),1990-005G,2026-03-26T12:07:45.623424,14.34094764,.0012712,98.8923,105.0080,89.1237,271.1403,0,U,20442,999,89054,.68326E-4,.145E-5,0
HST,1990-037B,2026-03-26T06:05:32.779104,15.29731597,.0001573,28.4723,286.9845,319.9838,40.0642,0,U,20580,999,77585,.23706E-3,.7258E-4,0
SKYNET 4C,1990-079A,2026-03-25T23:13:20.781696,1.00271090,.0003319,13.3668,350.3818,1.0373,213.6857,0,U,20776,999,13005,0,.118E-5,0
USA 65 (DSP 15),1990-095A,2026-03-25T13:26:38.745024,0.98398907,.0003646,14.0556,344.6248,60.5212,127.7473,0,U,20929,999,2464,0,-.244E-5,0
TDRS 5,1991-054B,2026-03-25T12:33:38.753280,1.00274203,.000983,14.0822,354.3971,277.9993,291.3017,0,U,21639,999,12687,0,.77E-6,0
USA 75 (DSP 16),1991-080B,2026-03-26T01:02:35.788128,0.99188750,.00037827,14.0483,346.1007,69.0958,115.9162,0,U,21805,999,2488,0,-.276E-5,0
LAGEOS 2,1992-070B,2026-03-20T02:10:27.910848,6.47293426,.0137714,52.6746,322.9737,148.3602,4.1736,0,U,22195,999,78965,0,-.9E-7,0
TDRS 6,1993-003B,2026-03-26T10:08:46.752576,1.00270767,.0005003,14.1816,357.6731,186.7188,105.8535,0,U,22314,999,12157,0,-.305E-5,0
