user_id,date,age,gender,height_cm,weight_kg,steps,calories_burned,sleep_hours,heart_rate_avg,workout_type,workout_duration_minutes,water_intake_liters,stress_level,mood
1102,2015-01-01,38,Female,165.5,59.6,2713,372.5,7.8,74,None,0,1.09,2,Tired
1435,2015-01-02,21,Female,173.4,52.1,1635,245.4,7.8,96,Running,20,2.93,3,Neutral
1860,2015-01-03,24,Male,165.7,85.1,16193,900,10,60,Running,43,2.24,1,Tired
1270,2015-01-04,43,Female,170.9,74.8,15633,819.5,6.5,66,Running,62,2.61,1,Happy
1106,2015-01-05,29,Female,157.8,75,10309,629.3,7.1,75,None,0,3.59,2,Neutral
1071,2015-01-06,48,Female,169.9,93.8,16778,865.3,9.9,82,None,0,2.41,2,Neutral
1700,2015-01-07,34,Female,165.2,49.5,8445,556,7.4,81,Yoga,36,2.94,6,Neutral
1020,2015-01-08,50,Female,158.8,49.1,13415,763.5,5.4,76,Running,58,2.54,8,Happy
1614,2015-01-09,28,Male,189.8,67.6,15281,843.3,7.5,79,Walking,74,2.42,4,Tired
1121,2015-01-10,45,Male,159.2,71,7602,504.2,8.1,76,Running,87,2.34,3,Tired
1466,2015-01-11,49,Male,170.1,64.7,1037,120,6.5,85,Walking,64,2.99,2,Tired
1214,2015-01-12,18,Female,162,106.9,10824,662.7,8.2,69,Yoga,47,1.99,1,Happy
1330,2015-01-13,45,Female,173,65.3,4775,292.5,8.1,71,Yoga,75,1.71,8,Tired
1458,2015-01-14,59,Female,157.3,61.7,11555,631.9,6.3,82,Running,48,2.55,7,Tired
1087,2015-01-15,24,Male,178.4,71.9,6120,325.2,9.3,91,None,0,2.63,2,Happy
1372,2015-01-16,19,Female,190.4,84.6,15678,900,5.8,69,Walking,88,1.22,7,Happy
1099,2015-01-17,59,Female,161.6,59.1,18425,900,7.7,77,Walking,30,2.49,6,Tired
1871,2015-01-18,41,Female,182.2,67.8,5715,412.3,6.1,71,Walking,21,1.64,8,Happy
1663,2015-01-19,21,Male,166.2,85,2394,366.7,4.5,81,Walking,87,2.94,6,Happy
1130,2015-01-20,36,Female,185.1,85.8,3869,381.4,7.5,59,Cycling,29,1.24,4,Happy
1661,2015-01-21,43,Male,191.9,73.3,4676,393.3,9.9,72,Yoga,46,3.85,8,Neutral
1308,2015-01-22,28,Female,167.7,106.3,4721,408.6,6.9,69,Walking,54,2.26,1,Neutral
1769,2015-01-23,57,Male,154.8,99.7,6690,448.5,4.8,72,Cycling,69,1.89,10,Tired
1343,2015-01-24,28,Male,179.5,48.9,6818,410.7,7.3,50,Cycling,21,2.3,1,Tired
1491,2015-01-25,20,Male,172.2,45,1234,297.4,5.8,95,Yoga,36,2.89,4,Happy
1413,2015-01-26,29,Female,175,81.9,4140,362.1,8.6,50,Gym,43,3.12,1,Tired
1805,2015-01-27,20,Female,166.6,90.5,9638,497.6,6.7,80,Running,76,2.31,5,Neutral
1385,2015-01-28,59,Male,161.2,66.6,13897,781.2,4.3,62,Yoga,35,1.49,9,Tired
1191,2015-01-29,44,Male,181.6,62.5,18383,900,7.8,63,Gym,55,1.65,9,Tired
1955,2015-01-30,19,Female,173.2,57.7,18718,900,7.3,76,None,0,2.7,9,Neutral
1276,2015-01-31,33,Female,155.6,52.5,9325,586.4,6.6,82,Running,29,3.19,6,Neutral
1160,2015-02-01,19,Male,176.9,87,11624,605.9,5.4,64,Running,82,3.28,1,Happy
1459,2015-02-02,47,Female,174.9,64.3,7090,394.1,9.7,64,Running,62,2.62,10,Happy
1313,2015-02-03,37,Female,166.7,74.5,12377,758.3,6.3,62,Cycling,70,3.18,5,Happy
1021,2015-02-04,55,Female,186.2,45,18495,900,8.3,77,Walking,22,3.84,10,Tired
1252,2015-02-05,45,Female,163.8,85,15870,791.5,6.3,65,Running,85,3.33,2,Tired
1747,2015-02-06,42,Male,168.3,78.8,3103,288.1,8,88,Walking,54,3.15,1,Tired
1856,2015-02-07,49,Female,177.7,49.8,6125,509.9,7.1,63,Running,88,1.94,5,Neutral
1560,2015-02-08,27,Female,170.8,73.9,7590,527.2,7,80,Cycling,55,3.17,5,Tired
1474,2015-02-09,59,Male,156.2,70.1,11212,703.3,5.8,90,None,0,2.82,1,Neutral
1058,2015-02-10,57,Male,171.8,63.2,10600,636.3,7.8,76,Running,20,2.96,7,Tired
1510,2015-02-11,50,Female,165.9,45,3921,315,9.1,57,Yoga,61,3.38,3,Tired
1681,2015-02-12,30,Female,178.6,60.1,5734,518.7,5.4,79,Gym,60,2.75,6,Neutral
1475,2015-02-13,58,Female,171.5,74.5,17037,861.9,5.8,73,Running,76,2.43,2,Neutral
1699,2015-02-14,59,Female,170.9,61.8,1836,313.7,10,75,Gym,39,1.75,9,Neutral
1975,2015-02-15,54,Male,159.5,66.7,13094,778,5.5,91,Gym,33,2.29,2,Happy
1782,2015-02-16,33,Male,167.7,92.5,10028,601.4,6.2,76,Cycling,71,2.65,2,Happy
1189,2015-02-17,39,Male,179.7,68.8,11749,614.3,9.1,80,None,0,2.69,1,Tired
1957,2015-02-18,37,Female,162.2,45,16432,823.4,9.1,68,Gym,68,2.67,1,Tired
1686,2015-02-19,44,Female,169.7,67.2,12051,715.9,3.4,72,Cycling,49,3.17,4,Tired
1957,2015-02-20,58,Female,160.6,71.5,16586,890.1,8.1,86,None,0,3.11,7,Happy
1562,2015-02-21,33,Female,158.2,57.6,6312,517.5,6.7,76,Running,31,2.46,4,Tired
1875,2015-02-22,51,Male,169.2,81,4822,449.8,6.8,78,Walking,50,1.91,5,Neutral
1566,2015-02-23,49,Male,171.7,48.1,12622,657.2,8.7,85,Cycling,56,2.77,6,Neutral
1243,2015-02-24,43,Female,189.9,67.9,17099,900,6.5,91,Gym,46,4.07,5,Happy
1831,2015-02-25,42,Male,165.4,47.9,18188,876.2,6.2,63,Gym,43,2.72,5,Neutral
1504,2015-02-26,19,Female,169.5,65.6,2075,312.7,6.5,70,Running,60,2.29,4,Neutral
1130,2015-02-27,29,Female,157.5,80.6,15063,900,6.5,90,Cycling,83,2.88,9,Tired
1484,2015-02-28,57,Male,176.1,67.6,17383,900,7.5,95,Running,30,2.92,5,Neutral
1818,2015-03-01,26,Female,174,66.7,10605,535.3,9,72,Cycling,35,2.91,9,Neutral
1646,2015-03-02,29,Female,184.9,70.4,5452,401.8,7.6,78,Walking,33,3.46,4,Happy
1020,2015-03-03,43,Male,181.1,71.2,19047,900,7,79,Yoga,66,2.77,9,Neutral
1840,2015-03-04,26,Female,173.5,80.4,13298,721.6,7.8,77,Running,49,3.43,5,Neutral
1166,2015-03-05,27,Female,165.3,80.5,13368,801.1,8.2,77,Gym,43,2.66,8,Tired
1273,2015-03-06,49,Male,172,91.3,8428,489.3,7.9,89,Running,32,3.56,1,Tired
